product_id,brand,product_name,fit_type,rise_type,price,mrp,discount_percent,rating,review_count
JN22987,U.S. Polo Assn. Denim Co.,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,3224.0,4299.0,25.01,4.2,130.0
JN22988,United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,3224.0,4299.0,25.01,4.2,130.0
JN22989,U.S. Polo Assn. Denim Co.,Men Skinny Fit Mid-Rise Jeans,Skinny Fit,Mid-Rise,2474.0,3299.0,25.01,4.2,130.0
JN22992,U.S. Polo Assn. Denim Co.,Men Slim Fit Light Fade Jeans,Slim Fit,Not Specified,2774.0,3699.0,25.01,3.9,31.0
JN22993,U.S. Polo Assn. Denim Co.,Men Tapered Fit Mid-Rise Jeans,Tapered Fit,Mid-Rise,2774.0,3699.0,25.01,3.9,31.0
JN22995,U.S. Polo Assn. Denim Co.,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,2774.0,3699.0,25.01,3.9,31.0
JN22996,U.S. Polo Assn. Denim Co.,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,2474.0,3299.0,25.01,3.9,31.0
JN22998,U.S. Polo Assn. Denim Co.,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,2249.0,2999.0,25.01,4.1,25.0
JN22999,Classic Polo,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,1899.0,1999.0,5.0,4.1,25.0
JN23003,SOKO STREET,Men Cargo Fit Jeans,Other/Unspecified,Not Specified,1889.0,3499.0,46.01,4.6,5.0
JN23004,SOKO STREET,Men Stretchable Jeans,Other/Unspecified,Not Specified,1609.0,3499.0,54.02,4.6,5.0
JN23005,United Colors of Benetton,Men Relaxed Fit Mid-Rise Jeans,Relaxed Fit,Mid-Rise,1609.0,3499.0,54.02,4.6,5.0
JN23006,SOKO STREET,Men Regular Fit Mid-Rise Jeans,Regular Fit,Mid-Rise,1609.0,3499.0,54.02,4.6,5.0
JN23007,SOKO STREET,Men Regular Fit Jeans,Regular Fit,Not Specified,1644.0,3499.0,53.02,4.6,5.0
JN23009,SOKO STREET,Men Regular Fit Mid-Rise Jeans,Regular Fit,Mid-Rise,1559.0,2999.0,48.02,3.1,35.0
JN23010,SOKO STREET,Men Cargo Fit Mid-Rise Jeans,Other/Unspecified,Mid-Rise,1784.0,3499.0,49.01,3.1,35.0
JN23012,SOKO STREET,Men Light Fade Jeans,Other/Unspecified,Not Specified,1559.0,2999.0,48.02,4.2,42.0
JN23013,Pepe Jeans,Men Slim Fit Low-Rise Jeans,Slim Fit,Low-Rise,2759.0,4599.0,40.01,4.2,42.0
JN23014,United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,2759.0,4599.0,40.01,4.2,42.0
JN23015,U.S. Polo Assn. Denim Co.,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,2249.0,2999.0,25.01,4.2,42.0
JN23016,WROGN,Men Wide Leg Mid-Rise Jeans,Wide Leg,Mid-Rise,1959.0,2799.0,30.01,4.2,42.0
JN23018,Crimsoune Club,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,1739.0,2899.0,40.01,4.0,63.0
JN23019,Crimsoune Club,Men Regular Fit Mid-Rise Jeans,Regular Fit,Mid-Rise,1499.0,2999.0,50.02,4.0,63.0
